,Report Type,Region,Activity,Latitude,Longitude,Activity Date,Submission Date,Start Time,End Time,Length hours,Length minutes,,ROU,Death,Nurse Practitioner Consults,Nursing/Paramedic Consults,Conversations about health education,Allied Health,Fleed,Patient Conversations,Service provider conversations,Mental health,Suicide prevention/planning,Substance use,Medication education,Impacted Region,Telehealth consults that happened at Clinic,Patient Feedback Received,Service Provider Feedback Received,Complete debrief,Complete all progress notes,Enter all doctor and nurse practitioner appointments,Wipe down clinic area,Shift Safety
12,Default,Odessa,Airstrikes or fires reported,46.4825,30.7233,26-02-2022,26-02-2022,2:00 AM,4:15 AM,2.15,500,,6,6,,,,,,,,,,,,6,,,,,,,,
13,Default,Poltava,Airstrikes or fires reported,49.5883,34.5514,27-02-2022,27-02-2022,3:00 AM,5:15 AM,2.15,500,,41,41,,,,,,,,,,,,41,,,,,,,,
14,Default,Melitopol,Russia Controlled Regions,46.855,35.3587,28-02-2022,28-02-2022,4:00 AM,6:15 AM,2.15,3000,,22,22,,,,,,,,,,,,22,,,,,,,,
15,Default,Zhytomyr,Ground fighting or explosions,50.2547,28.6587,29-02-2022,29-02-2022,8:20 PM,10:15 PM,2.15,1379.120879,,23.5,2,,,,,,,,,,,,20.16483516,,,,,,,,
16,Default,Velyki Osnyaky,Ground fighting or explosions,51.6894,31.1949,24-02-2022,24-02-2022,8:30 PM,10:15 PM,2.15,1329.67033,,25.27472527,3,,,,,,,,,,,,21.27252747,,,,,,,,
17,Default,Rivnopillya,Ground fighting or explosions,,,23-02-2022,23-02-2022,9:02 PM,5:00 PM,2.15,1280.21978,,27.04945055,12,,,,,,,,,,,,22.38021978,,,,,,,,
18,Default,Chernobyl,Ground fighting or explosions,51.2763,30.2219,24-02-2022,24-02-2022,8:20 PM,10:15 PM,2.15,1230.769231,,28.82417582,21,,,,,,,,,,,,23.48791209,,,,,,,,
19,Default,Hostomel,Ground fighting or explosions,50.5791,30.2151,28-02-2022,28-02-2022,9:00 AM,10:15 PM,2.15,1181.318681,,30.5989011,2,,,,,,,,,,,,24.5956044,,,,,,,,
20,Default,Obolon,Ground fighting or explosions,,,22-02-2022,22-02-2022,9:20 PM,11:15 PM,2.15,1131.868132,,32.37362637,1,,,,,,,,,,,,25.7032967,,,,,,,,
21,Default,Tsyrkuny,Ground fighting or explosions,50.0805,36.377,20-02-2022,20-02-2022,8:00 PM,12:15 AM,2.15,1082.417582,,34.14835165,2,,,,,,,,,,,,26.81098901,,,,,,,,
22,Default,Okhtyrka,Ground fighting or explosions,50.3151,34.9006,21-02-2022,21-02-2022,9:00 PM,1:15 AM,2.15,1032.967033,,35.92307692,4,,,,,,,,,,,,27.91868132,,,,,,,,
23,Default,Peremohy Ave.,Ground fighting or explosions,,,22-02-2022,22-02-2022,10:00 PM,2:15 AM,2.15,983.5164835,,37.6978022,4,,,,,,,,,,,,29.02637363,,,,,,,,
24,Default,Minsk Massif,Ground fighting or explosions,50.5181,30.4633,23-02-2022,23-02-2022,11:00 PM,3:05 AM,2.15,934.0659341,,39.47252747,12,,,,,,,,,,,,30.13406593,,,,,,,,
25,Default,Darnytskyi,Ground fighting or explosions,50.4154,30.6936,24-02-2022,24-02-2022,12:00 AM,4:15 AM,2.15,884.6153846,,41.24725275,31,,,,,,,,,,,,31.24175824,,,,,,,,
26,Default,Kyiv Thermal,Ground fighting or explosions,,,25-02-2022,25-02-2022,1:00 AM,5:15 AM,2.15,835.1648352,,43.02197802,2,,,,,,,,,,,,32.34945055,,,,,,,,
27,Default,Konotop,Russia Controlled Regions,,,26-02-2022,26-02-2022,2:00 AM,6:15 AM,2.15,785.7142857,,44.7967033,1,,,,,,,,,,,,33.45714286,,,,,,,,
28,Default,Luhansk,Russia Controlled Regions,,,27-02-2022,27-02-2022,3:00 AM,10:15 PM,2.15,736.2637363,,46.57142857,4,,,,,,,,,,,,34.56483516,,,,,,,,
29,Default,Belarus,Neighbours,53.7098,27.9534,28-02-2022,28-02-2022,4:00 AM,10:15 PM,2.15,686.8131868,,48.34615385,5,,,,,500,,,,,,,,,,,,,,,
30,Default,Slovakia,Neighbours,48.669,19.699,29-02-2022,29-02-2022,8:20 PM,5:00 PM,2.15,637.3626374,,50.12087912,1,,,,,30000,,,,,,,,,,,,,,,
31,Default,Poland,Neighbours,51.9194,19.1451,24-02-2022,24-02-2022,8:30 PM,10:15 PM,2.15,587.9120879,,51.8956044,,,,,,337400,,,,,,,,,,,,,,,
32,Default,Romania,Neighbours,45.9432,24.9668,23-02-2022,23-02-2022,9:02 PM,10:15 PM,2.15,538.4615385,,53.67032967,,,,,,34000,,,,,,,,,,,,,,,
33,Default,Other European,Neighbours,,,24-02-2022,24-02-2022,8:20 PM,11:15 PM,2.15,489.010989,,55.44505495,,,,,,34000,,,,,,,,,,,,,,,
34,Default,Hungary,Neighbours,47.1625,19.5033,28-02-2022,28-02-2022,9:00 AM,12:15 AM,2.15,439.5604396,,57.21978022,,,,,,94000,,,,,,,,,,,,,,,
35,Default,Russia,Neighbours,61.524,105.3188,22-02-2022,22-02-2022,9:20 PM,1:15 AM,2.15,390.1098901,,58.99450549,,,,,,129000,,,,,,,,,,,,,,,
36,Default,Moldova,Neighbours,47.4116,28.3699,20-02-2022,20-02-2022,8:00 PM,2:15 AM,2.15,340.6593407,,60.76923077,,,,,,40000,,,,,,,,,,,,,,,
